Sno,Candidate_Ref,DOJ_Extended,Duration_to_accept_offer,Notice_Period,Offered_Band,Percent_hike_expected_in_CTC,Percent_hike_offered_in_CTC,Percent_difference_CTC,Joining_Bonus,Candidate_relocate_actual,Gender,Candidate_Source,Rex_in_Yrs,Location_ID,Postal_Code,Age,LOB_Id,Domicile_Id
1,2110407,Yes,14,30,E2,-20.79,13.16,42.86,No,No,Female,Agency,7,L001,201301,34,1,D6
2,2112635,No,18,30,E2,50,320,180,No,No,Male,Employee Referral,8,L002,600020,34,2,D9
3,2112838,No,3,45,E2,42.84,42.84,0,No,No,Male,Agency,4,L001,201301,27,2,D10
4,2115021,No,26,30,E2,42.84,42.84,0,No,No,Male,Employee Referral,4,L001,201301,34,2,D3
5,2115125,Yes,1,120,E2,42.59,42.59,0,No,Yes,Male,Employee Referral,6,L001,201301,34,2,D21
6,2117167,Yes,17,30,E1,42.83,42.83,0,No,No,Male,Employee Referral,2,L001,201301,34,2,D24
7,2119124,Yes,37,30,E2,31.58,31.58,0,No,No,Male,Employee Referral,7,L001,201301,32,2,D23
9,2127572,Yes,16,0,E1,-20,-20,0,No,No,Female,Direct,8,L001,201301,34,3,D6
11,2138169,No,1,30,E1,-22.22,-22.22,0,No,No,Female,Employee Referral,3,L003,122107,26,4,D5
12,2143362,No,6,30,E1,240,220,-5.88,No,No,Male,Employee Referral,3,L002,600020,34,5,D23
13,2151180,No,120,30,E2,5.26,-60.53,-62.5,No,No,Male,Employee Referral,3,L001,201301,34,2,D6
14,2154264,No,3,0,E2,28.21,37.18,7,No,No,Male,Employee Referral,7,L002,600020,34,2,D3
15,2156236,Yes,14,30,E2,50,287.5,158.33,No,No,Male,Agency,7,L001,201301,29,2,D13
16,2158703,No,44,75,E2,45.45,60,10,No,No,Male,Direct,8,L001,201301,34,2,D13
17,2161257,No,7,30,E3,53.85,50,-2.5,No,No,Male,Employee Referral,5,L001,201301,34,2,D9
18,2162487,No,1,30,E3,-27.31,-27.31,0,No,No,Male,Direct,18,L004,560034,34,6,D13
