Candidate_Ref,Status
2110407,Joined
2112635,Joined
2112838,Joined
2115021,Joined
2115125,Joined
2117167,Joined
2119124,Joined
2127572,Joined
2138169,Joined
2143362,Joined
2151180,Not Joined
2154264,Joined
2156236,Not Joined
2158703,Not Joined
2161257,Not Joined
2162487,Joined
2166041,Not Joined
2172982,Joined
2173730,Joined
2175237,Joined
2175323,Joined
2184108,Joined
2188014,Joined
2191237,Joined
2194323,Joined
2205244,Not Joined
2205496,Joined
2207823,Joined
2211699,Not Joined
2214217,Joined
2214446,Joined
2221643,Joined
2221707,Not Joined
2222480,Not Joined
2222936,Joined
2223040,Joined
2224425,Joined
2224426,Joined
2225685,Joined
2226215,Joined
2227339,Not Joined
2227431,Joined
2233506,Joined
2237763,Joined
2237899,Joined
2238751,Not Joined
2238809,Not Joined
2245529,Not Joined
2281509,Joined
2282688,Joined
2282703,Joined
2283257,Joined
2286200,Not Joined
2286297,Joined
2286317,Joined
2286381,Joined
2286467,Joined
2286651,Joined
2287263,Not Joined
2287314,Joined
2301543,Joined
2302202,Joined
2322849,Not Joined
2322986,Joined
2328123,Joined
2328443,Joined
2344484,Not Joined
2347819,Joined
2348220,Joined
2351625,Joined
2351866,Joined
2352045,Joined
2352237,Joined
2354362,Joined
2356737,Joined
2361174,Not Joined
2364321,Joined
2364483,Joined
2364616,Joined
2365129,Not Joined
2368400,Joined
2368563,Joined
2372840,Joined
2377978,Joined
2377993,Joined
2378003,Joined
2378097,Joined
2378111,Joined
2378829,Joined
2382818,Not Joined
2383202,Joined
2398717,Joined
2400028,Not Joined
2403871,Joined
2407721,Joined
2416792,Joined
2417836,Joined
2419759,Joined
2424526,Joined
2437820,Joined
2440646,Joined
2440672,Joined
2440753,Not Joined
2441165,Joined
2441279,Not Joined
2442101,Joined
2444384,Not Joined
2444496,Not Joined
2445042,Joined
2452418,Joined
2452436,Joined
2457480,Joined
2458879,Joined
2461027,Joined
2461696,Joined
2464247,Not Joined
2464457,Joined
2464782,Joined
2468663,Joined
2468764,Joined
2473555,Joined
2474614,Joined
2474728,Not Joined
2474750,Joined
2478398,Joined
2478695,Joined
2479005,Not Joined
2480992,Joined
2481514,Joined
2483538,Joined
2537835,Joined
2537925,Joined
2537986,Not Joined
2544512,Joined
2556458,Joined
2561022,Joined
2561128,Joined
2564986,Joined
2569520,Joined
2575776,Joined
2576352,Joined
2586163,Joined
2586868,Joined
2590178,Joined
2590903,Joined
2591263,Joined
2591495,Joined
2593939,Not Joined
2594486,Joined
2594579,Joined
2598011,Joined
2598184,Joined
2600880,Joined
2605197,Joined
2609241,Joined
2609287,Not Joined
2613516,Not Joined
2613742,Joined
2615966,Not Joined
2618791,Joined
2635381,Joined
2635429,Joined
2635526,Joined
2635705,Joined
2635749,Joined
2778998,Joined
2780352,Joined
2780669,Not Joined
2780903,Joined
2781322,Joined
2786502,Joined
2790302,Joined
2793776,Joined
2794614,Joined
2795222,Not Joined
2802356,Joined
2804650,Joined
2807929,Joined
2814312,Joined
2814340,Joined
2814452,Joined
2819665,Joined
2819712,Joined
2823905,Joined
2824103,Joined
2826712,Joined
2828770,Joined
2828841,Joined
2834484,Joined
2834603,Joined
2839728,Joined
2840929,Joined
2841169,Joined
2845533,Joined
2845929,Joined
2846059,Not Joined
2850795,Joined
2850802,Joined
2861481,Joined
2861532,Joined
2861816,Joined
2861873,Not Joined
2861938,Not Joined
2863789,Joined
2865940,Joined
2866433,Joined
2926304,Not Joined
2930426,Not Joined
2945577,Joined
